0,0,376,748,-1,-1,-1,-1,-1,-1
1,0.013756,34,64,-1,-1,-1,-1,-1,-1
2,0.628136,2118,9446,-1,-1,-1,-1,-1,-1
3,0.244105,2118,9446,-1,-1,-1,-1,-1,-1
4,0.24886,6368,13770,-1,-1,-1,-1,-1,-1
5,2.81759,12233,66015,-1,-1,-1,-1,-1,-1
6,0.147494,12233,66015,0,0.40897,3.14159,2.28089,1e+50,1.92078e+48
8,1.18809,1195,5891,0,0.614843,3.14159,1.98767,2.5562e+09,433921
7,0.08686,10500,51839,0,0.668885,3.14159,1.9108,4.40908e+09,143210
8,0.353324,4211,21231,0.0233985,0.716926,3.05541,1.85646,90.8622,4.13353
9,0.150883,4211,21171,0.0313171,0.725581,3.05541,1.8339,39.2456,4.0499
10,0.130377,4211,21171,0.187193,0.792336,2.80575,1.77419,8.26227,3.75002
8,0.084433,3730,18683,0.187193,0.796012,2.71353,1.7724,7.60162,3.73638
12,0.036161,1747,8094,0.2427,0.814307,2.70946,1.7529,7.37686,3.66664
13,-1,0,-1,-1,-1,-1,-1,-1,-1
